"Instruction","","Lat","TP","Uops","Ports","Lat","TP","Uops","Ports"
"SUBPS (XMM, XMM)","SSE","[2;3]","0.50 / 0.50","1 / 1","1*p15","3","0.50 / 0.50","1","1*FP23"
"SUBSS (XMM, M32)","SSE","[2;≤10]","0.50 / 0.50","1 / 2","1*p15+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"SUBSS (XMM, XMM)","SSE","[2;3]","0.50 / 0.50","1 / 1","1*p15","3","0.50 / 0.50","1","1*FP23"
"UCOMISS (XMM, M32)","SSE","[≤3;8]","1.00 / 1.00","2 / 2","1*p0+1*p23A","[≤7;≤12]","0.50 / 1.00","2","1*FP23+1*FP45"
"UCOMISS (XMM, XMM)","SSE","≤3","1.00 / 1.00","1 / 1","1*p0","≤7","0.50 / 1.00","2","1*FP23+1*FP45"
"UNPCKHPS (XMM, M128)","SSE","[1;≤8]","1.00 / 1.00","1 / 2","1*p23A+1*p5","[1;≤9]","0.33 / 0.50","1","1*FP123"
"UNPCKHPS (XMM, XMM)","SSE","1","1.00 / 1.00","1 / 1","1*p5","1","0.33 / 0.40","1","1*FP123"
"UNPCKLPS (XMM, M128)","SSE","[1;≤8]","1.00 / 1.00","1 / 2","1*p23A+1*p5","[1;≤9]","0.33 / 0.50","1","1*FP123"
"UNPCKLPS (XMM, XMM)","SSE","1","1.00 / 1.00","1 / 1","1*p5","1","0.33 / 0.40","1","1*FP123"
"XORPS (XMM, M128)","SSE","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"XORPS (XMM, XMM)","SSE","[0;1]","0.33 / 0.33","1 / 1","1*p015","[0;1]","0.25 / 0.25","1","1*FP0123"
"ADDPD (XMM, M128)","SSE2","[2;≤10]","0.50 / 0.50","1 / 2","1*p15+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"ADDPD (XMM, XMM)","SSE2","[2;3]","0.50 / 0.50","1 / 1","1*p15","3","0.50 / 0.50","1","1*FP23"
"ADDSD (XMM, M64)","SSE2","[2;≤10]","0.50 / 0.50","1 / 2","1*p15+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"ADDSD (XMM, XMM)","SSE2","[2;3]","0.50 / 0.50","1 / 1","1*p15","3","0.50 / 0.50","1","1*FP23"
"ANDNPD (XMM, M128)","SSE2","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"ANDNPD (XMM, XMM)","SSE2","1","0.33 / 0.33","1 / 1","1*p015","[0;1]","0.25 / 0.25","1","1*FP0123"
"ANDPD (XMM, M128)","SSE2","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"ANDPD (XMM, XMM)","SSE2","1","0.33 / 0.33","1 / 1","1*p015","1","0.25 / 0.25","1","1*FP0123"
"CMPPD (XMM, M128, I8)","SSE2","[4;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"CMPPD (XMM, XMM, I8)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"CMPSD_XMM (XMM, M64, I8)","SSE2","[4;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"CMPSD_XMM (XMM, XMM, I8)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"COMISD (XMM, M64)","SSE2","[≤3;8]","1.00 / 1.00","2 / 2","1*p0+1*p23A","[≤7;≤12]","0.50 / 1.00","2","1*FP23+1*FP45"
"COMISD (XMM, XMM)","SSE2","≤3","1.00 / 1.00","1 / 1","1*p0","≤7","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTDQ2PD (XMM, M64)","SSE2","[≤8;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","≤11","0.50 / 0.50","1","1*FP23"
"CVTDQ2PD (XMM, XMM)","SSE2","5","1.00 / 1.00","2 / 2","1*p01+1*p5","3","0.50 / 0.50","1","1*FP23"
"CVTDQ2PS (XMM, M128)","SSE2","[≤8;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","≤11","0.50 / 0.50","1","1*FP23"
"CVTDQ2PS (XMM, XMM)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP23"
"CVTPD2DQ (XMM, M128)","SSE2","[≤9;≤12]","1.00 / 1.00","3 / 3","1*p01+1*p23A+1*p5","≤11","0.50 / 0.50","1","1*FP23"
"CVTPD2DQ (XMM, XMM)","SSE2","5","1.00 / 1.00","2 / 2","1*p01+1*p5","3","0.50 / 0.50","1","1*FP23"
"CVTPD2PI (MM, M128)","SSE2","[≤12;≤24]","1.00 / 1.00","2 / 3","1*p01+1*p23A+1*p5","[≤11;≤24]","0.50 / 0.50","1","1*FP23"
"CVTPD2PI (MM, XMM)","SSE2","≤8","1.00 / 1.00","2 / 2","1*p01+1*p5","≤4","0.50 / 0.50","1","1*FP23"
"CVTPD2PS (XMM, M128)","SSE2","[≤9;≤12]","1.00 / 1.00","2 / 3","1*p01+1*p23A+1*p5","≤11","0.50 / 0.50","1","1*FP23"
"CVTPD2PS (XMM, XMM)","SSE2","5","1.00 / 1.00","2 / 2","1*p01+1*p5","3","0.50 / 0.50","1","1*FP23"
"CVTPI2PD (XMM, M64)","SSE2","[≤8;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","≤11","0.50 / 0.50","1","1*FP23"
"CVTPI2PD (XMM, MM)","SSE2","≤6","1.00 / 1.00","2 / 2","1*p01+1*p5","≤4","0.50 / 0.50","2","1*FP0123+1*FP23"
"CVTPS2DQ (XMM, M128)","SSE2","[≤8;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23A","≤11","0.50 / 0.50","1","1*FP23"
"CVTPS2DQ (XMM, XMM)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP23"
"CVTPS2PD (XMM, M64)","SSE2","[≤8;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","≤11","0.50 / 0.50","1","1*FP23"
"CVTPS2PD (XMM, XMM)","SSE2","5","1.00 / 1.00","2 / 2","1*p01+1*p5","3","0.50 / 0.50","1","1*FP23"
"CVTSD2SI (R32, M64)","SSE2","≤12","1.00 / 1.00","3 / 3","1*p0+1*p01+1*p23A","[12;≤14]","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTSD2SI (R32, XMM)","SSE2","≤7","1.00 / 1.00","2 / 2","1*p0+1*p01","≤9","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTSD2SI (R64, M64)","SSE2","≤12","1.00 / 1.00","3 / 3","1*p0+1*p01+1*p23A","[12;≤14]","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTSD2SI (R64, XMM)","SSE2","≤7","1.00 / 1.00","2 / 2","1*p0+1*p01","≤9","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTSD2SS (XMM, M64)","SSE2","[1;≤12]","1.00 / 1.00","2 / 3","1*p01+1*p23A+1*p5","[3;≤11]","0.50 / 0.50","1","1*FP23"
"CVTSD2SS (XMM, XMM)","SSE2","[1;5]","1.00 / 1.00","2 / 2","1*p01+1*p5","3","0.50 / 0.50","1","1*FP23"
"CVTSI2SD (XMM, M32)","SSE2","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"CVTSI2SD (XMM, M64)","SSE2","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"CVTSI2SD (XMM, R32)","SSE2","[4;≤7]","1.00 / 1.00","2 / 2","1*p01+1*p5","[3;≤8]","0.50 / 1.45","2","1*FP23"
"CVTSI2SD (XMM, R64)","SSE2","[4;≤7]","1.00 / 1.00","2 / 2","1*p01+1*p5","[3;≤8]","0.50 / 1.45","2","1*FP23"
"CVTSS2SD (XMM, M32)","SSE2","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"CVTSS2SD (XMM, XMM)","SSE2","[4;5]","1.00 / 1.00","2 / 2","1*p01+1*p5","3","0.50 / 0.50","1","1*FP23"
"CVTTPD2DQ (XMM, M128)","SSE2","[≤9;≤12]","1.00 / 1.00","3 / 3","1*p01+1*p23A+1*p5","≤11","0.50 / 0.50","1","1*FP23"
"CVTTPD2DQ (XMM, XMM)","SSE2","5","1.00 / 1.00","2 / 2","1*p01+1*p5","3","0.50 / 0.50","1","1*FP23"
"CVTTPD2PI (MM, M128)","SSE2","[≤12;≤24]","1.00 / 1.00","2 / 3","1*p01+1*p23A+1*p5","[≤11;≤24]","0.50 / 0.50","1","1*FP23"
"CVTTPD2PI (MM, XMM)","SSE2","≤8","1.00 / 1.00","2 / 2","1*p01+1*p5","≤4","0.50 / 0.50","1","1*FP23"
"CVTTPS2DQ (XMM, M128)","SSE2","[≤8;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23A","≤11","0.50 / 0.50","1","1*FP23"
"CVTTPS2DQ (XMM, XMM)","SSE2","4","0.50 / 0.50","1 / 1","1*p01","3","0.50 / 0.50","1","1*FP23"
"CVTTSD2SI (R32, M64)","SSE2","≤12","1.00 / 1.00","3 / 3","1*p0+1*p01+1*p23A","[12;≤14]","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTTSD2SI (R32, XMM)","SSE2","≤7","1.00 / 1.00","2 / 2","1*p0+1*p01","≤9","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTTSD2SI (R64, M64)","SSE2","≤12","1.00 / 1.00","3 / 3","1*p0+1*p01+1*p23A","[12;≤14]","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTTSD2SI (R64, XMM)","SSE2","≤7","1.00 / 1.00","2 / 2","1*p0+1*p01","≤9","0.50 / 1.00","2","1*FP23+1*FP45"
"DIVPD (XMM, M128)","SSE2","[≤13.0;≤21]","1.00 / 4.00","1 / 2","1*p0+1*p23A","[≤13;≤21]","0.50 / 5.00","1","1*FP01"
"DIVPD (XMM, XMM)","SSE2","[≤13.0;≤15]","1.00 / 4.00","1 / 1","1*p0","≤13","0.50 / 5.00","1","1*FP01"
"DIVSD (XMM, M64)","SSE2","[≤13.0;≤21]","1.00 / 4.00","1 / 2","1*p0+1*p23A","[≤13;≤21]","0.50 / 5.00","1","1*FP01"
"DIVSD (XMM, XMM)","SSE2","[≤13.0;≤15]","1.00 / 4.00","1 / 1","1*p0","≤13","0.50 / 5.00","1","1*FP01"
"LFENCE","SSE2","","0.50 / 12.00","4 / 1","1*p06","","10.00","1",""
